condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,6.0,32,1.0,0,Kay_ripple_detector,0.13823154201963916,43,,1.0,0.9302325581395349,5.84968309504319,-6.877367513233423,,
ripples,6.0,32,1.0,0,Karlsson_ripple_detector,0.3596265410305932,46,,1.0,0.8695652173913043,-25.873482267055437,26.87183169352636,,
ripples,6.0,32,1.0,0,Roumis_ripple_detector,0.26309258298715577,43,,1.0,0.9302325581395349,6.183016428373378,-5.627530072320752,,
ripples,6.0,32,1.0,0,Shvartsman_ripple_detector,0.3484804999898188,41,,1.0,0.975609756097561,-25.873482267055437,26.87183169352636,,
ripples,6.0,32,1.0,0,Yu_ripple_detector,0.33497754199197516,174,,1.0,0.23563218390804597,7.327855384232862,-7.957570890511079,,
ripples,6.0,32,1.0,0,Zugaro_ripple_detector,0.015509125019889325,39,,0.975,1.0,21.094687066735673,-19.632114512816656,,
ripples,6.0,32,1.0,0,Long_sharp_wave_ripple_detector,0.15525329200318083,35,,0.875,1.0,12.511084668716421,-14.163341799871887,,
ripples,6.0,32,1.0,0,Carey_candidate_detector,0.28397966700140387,40,,1.0,1.0,-6.166824459806541,5.707896291045955,,
ripples,6.0,32,1.0,0,multiunit_HSE_detector,0.07597595802508295,46,,1.0,0.8695652173913043,-18.49311170010104,18.137813013716197,,
ripples,6.0,32,1.0,1,Kay_ripple_detector,0.13645958300912753,43,,1.0,0.9302325581395349,8.737373118389513,-8.439029135413278,,
ripples,6.0,32,1.0,1,Karlsson_ripple_detector,0.35490487498464063,47,,1.0,0.851063829787234,-25.365990050573828,23.453190720474026,,
ripples,6.0,32,1.0,1,Roumis_ripple_detector,0.2738258329918608,43,,1.0,0.9302325581395349,8.140230073941268,-8.108184327987544,,
ripples,6.0,32,1.0,1,Shvartsman_ripple_detector,0.35988250002264977,40,,1.0,1.0,-25.365990050573828,23.453190720474026,,
